No.,タイトル,問題,解答,,,,,
23,地域共創に関するソリューション,【①】は食と住まいの情報発信拠点。ガスで叶える豊かな暮らしを五感で体感できる施設として、地域のイベントや料理レッスン、セミナーなどを開催,①hu+g MUSEUM,,,,,
24,地域共創に関するソリューション,大阪ガス都市開発は、環境に優しい【①】※1マンション「SCENES シーンズ」や「URBANEX アーバネックス」を展開,"①ZEHマンション
※1：「ZEH」とは「Net Zero Energy House (ネット・ゼロ・エネルギー・ハウス)」の略で、住まいの断熱性能、省エネ性能を向上させ、太陽光発電などの設備でエネルギーを創ることにより、空調・給湯・照明・換気などの一次エネルギー消費量の収支をゼロとすることを目指した住宅のこと",,,,,
25,,,,,,,,
26,,,,,,,,
27,,,,,,,,
28,,,,,,,,
29,,,,,,,,
30,,,,,,,,
31,,,,,,,,
32,,,,,,,,
33,,,,,,,,
34,,,,,,,,
35,,,,,,,,
36,,,,,,,,
37,,,,,,,,
38,,,,,,,,
39,,,,,,,,
40,,,,,,,,
41,,,,,,,,
42,,,,,,,,
43,,,,,,,,
44,,,,,,,,
45,,,,,,,,
46,,,,,,,,
47,,,,,,,,
48,,,,,,,,
49,,,,,,,,
50,,,,,,,,
51,,,,,,,,
52,,,,,,,,
53,,,,,,,,
54,,,,,,,,
55,,,,,,,,
56,,,,,,,,
57,,,,,,,,
58,,,,,,,,
59,,,,,,,,
60,,,,,,,,
61,,,,,,,,
62,,,,,,,,
63,,,,,,,,
64,,,,,,,,
65,,,,,,,,
66,,,,,,,,
67,,,,,,,,
68,,,,,,,,
69,,,,,,,,
70,,,,,,,,
71,,,,,,,,
72,,,,,,,,
73,,,,,,,,
74,,,,,,,,
75,,,,,,,,
76,,,,,,,,
77,,,,,,,,
78,,,,,,,,
79,,,,,,,,
80,,,,,,,,
81,,,,,,,,
82,,,,,,,,
83,,,,,,,,
84,,,,,,,,
85,,,,,,,,
86,,,,,,,,
87,,,,,,,,
88,,,,,,,,
89,,,,,,,,
90,,,,,,,,
91,,,,,,,,
92,,,,,,,,
93,,,,,,,,
94,,,,,,,,
95,,,,,,,,
