判定,No.,カテゴリ,掲載日,タイトル,問題,解答,
,11,経営,2025/3/31,"ESG統括メッセージ
?コンプライアンスの徹底について?","大阪ガスマーケティング株式会社において、［①］が判明し、公表した。
この行為は、［②］に該当しうるものであり、重大なコンプライアンス違反

Daigasグループの「サービス第一」の社是と大きく反する行為、信頼を一瞬にして失う行為
→真心を尽くしてお客様や社会に役立つことに全力で努めてまいりましょう","①お客様にエネファームを提案するために光熱費シュミレーションを実施する際、光熱費低減メリットを誤認させるような資料提示を行なっていたこと
②景品表示法に基づく不当表示",
,12,経営,2025/4/1,"カーボンニュートラル推進統括メッセージ
?エネルギートランジション2025の実現に向けて?","4/1付でカーボンニュートラル推進統括に就任：須藤治

◯第7次エネルギー基本計画の振り返り
ロシアによるウクライナ侵攻や中東情勢の緊迫化などを受けた［①］の要請の高まりや、DXの進展による［②］を踏まえ、気候変動対策としての［③］を一体化させる方向性が打ち出されている。
特に、電化が困難な［④］において、［⑤］に加え、水素等の［⑥］した対策を進めていくこととされている。
このようなカーボンニュートラル実現にはさらなる［⑦］だが、2040年時点で技術開発が進展しない［⑧］され、LNG長期契約の確保など、［⑨］もうたわれる。
化石燃料の中でも温室効果ガスの排出が最も少ないため、燃料転換を通じて［⑩］が進むことで、環境負荷低減に寄与することも示された。
昨年5月には［11］が成立し、水素・アンモニア・e-メタンなどの［12］と定義される［13］の位置付けが明確化する中、国が［14］を協力に支援することも示された。

◯エネルギートランジション2050のポイント
このような中、Daigasグループとしても、タイムリーにET2050を策定・公表
今回のET2050のポイントは３つ
（１）2040年までのシナリオを含む2050年までのロードマップ
第7次エネルギー基本計画の議論も踏まえ、今回、ET2050では2040年までのシナリオや［15］が１つ目のポイントである。
CO2削減ロードマップでは、国が想定する［16］に整合する［17］を検討し、特に国がカーボンニュートラルを実現する［18］における当社の2040年の想定数値として、
CO2排出量削減［19］、CO2排出削減貢献量［20］、再エネ普及貢献量［21］、ガスCN化率［22］
という４つの数値をお示しした。
（２）お客様に合わせた多様なエネルギー選択肢の提供
２つ目のポイントはお客様に合わせた［23］を示した点であり、
［24］
の３つの取り組みをしっかり進めるということ。
特にその中でも［25］の社会実装と再生可能エネルギーの普及拡大がカーボンニュートラル化のキーポイントとなると考える。
特にe-メタンの利用拡大は、世の中のCO2削減に繋げることができるため、Daigasグループはこの［26］による社会全体のCO2排出削減を重要戦略の１つと位置づけ、［27］を積極的に推進することを示した。
（３）お客様と一緒に共創するミライ価値に繋がるソリューション
３つ目のポイントは当社が掲げるお客様と一緒に［28］していくための具体的なソリューションを、
［29］
の４つのカテゴリーで具体的に示したことである。
エネルギー会社として、供給するエネルギーそのものをカーボンニュートラル化するのみでなく、
利用するお客様がご利用しやすい形でソリューションとして提案することを重要と考える。

ET2050では改めてDaigasグループの［30］として、
「安全性を大前提として、厳冬・酷暑や自然災害でもエネルギー供給を停止させない供給安定性を最も重要視しつつ時代によって変化するお客様のニーズに合わせて環境性・経済性の様々な選択肢をお客様にご提案する」ということを示した。
この原則を大事にしつつ、皆様と一体となって社会課題を解決するための新しいCNのミライ価値を共創することで、お客様のウェルビーイングな暮らしの実現やサステイナブルなビジネスの進化を目指していくこととなる。","①エネルギー安全保障
②電力需要増加
③エネルギー構造転換と産業政策
④Hard to Abate産業
⑤天然ガスへの燃料転換
⑥CCUSなどを活用
⑦イノベーションが不可欠
⑧リスクケースも想定
⑨エネルギー安定供給の確保に万全を期す重要性
⑩天然ガスシフト
11.水素社会推進法
12.水素等
13.次世代エネルギー
14.低炭素水素等の大規模サプライチェーンの構築

15.2050年までのロードマップを具体化したこと
16.革新技術拡大シナリオ、技術進展シナリオ
17.複数シナリオ
18.革新技術拡大シナリオ
19.1000万トン
20.1500万トン
21.1000万KW
22.40％
23.多様なエネルギーの選択
24.熱エネルギー、電気エネルギー、ネガティブエミッション
25.e-メタン
26.e-メタンの普及
27.e-メタンの製造や技術開発
28.ミライ価値を共創
29.業工用、家庭用、運輸用、地域共創
30.エネルギー供給基本方針","ET2050リンクを見ることで詳しくわかります
ぜひ見てください"
,13,経営,2025/4/1,"保安統括就任にあたって
?現場・現物・現実を正しく捉え、人と組織で対応力を高め続けよう?","4/1付で保安統括に就任：坂梨　興

「安心・安全、安定供給」は私たちの事業の根幹＝一丁目一番地
→取り組みを具体的に考え、実行していくにあたり、「肝」となる視点の１つは、［①］を正しく捉えること

ガス工事現場にて土砂崩れの発生による死亡者の発生",①現場・現物・現実,
,14,経営,2025/4/1,"技術統括メッセージ
?挑戦により未来を切り開く?","竹森

2025年度：創業120周年

◯2024年度振り返り
・e-メタン技術開発の着実な進化：SOECメタネーションの技術開発はラボスケールで目標を上回る効率を確認、食品残渣由来のバイオガス中のCO2とグリーン水素を反応させてe-メタンを作る取り組みは万博での実証準備が整う
・アンモニアを0-100%混焼できるバーナ専用ノズルの開発
・再生可能エネルギーの導入に不可欠な蓄電池のマネジメント技術や劣化診断・寿命予測技術の開発
・AIを用いたカーボンクレジットの品質評価
・産業用冷凍機をデマンドレスポンス制御するエネルギーマネジメント等に活用する取り組み
・スマホ動画からガス配管竣工図を自動作成するシステムの現場導入
・事業創造活動として天然水素や次世代太陽熱の開発を手がけるスタートアップへの出資

◯2025年度での取り組み
・万博でのメタネーション実証「化けるLABO」では、万博会場内で発生する生ゴミや大気由来のC02を利用してe-メタンを作る
・長岡でのサバティエメタネーションの実証は、今年度建設工事を完了し、運転を開始予定
・SOECメタネーションでは、ラボスケールからe-メタンの製造能力が約100倍となる一般家庭約200戸相当のベンチスケール試験等を行う第２フェーズへ移行
・秋に新研究開発拠点が竣工

Daigasグループ中期経営計画2026「今日の安心を守り、未来の日常を作る」ための、弛まぬ技術開発をしていく。",,
,15,経営,2025/4/1,リスク管理統括就任にあたって,"今井

・先日、Daigasグループにおける重大なコンプライアンス違反があったことを忘れてはならない。

・持続的な成長のために挑戦を続けるが、一方でリスクは数多く潜んでいることを忘れてはならない。",,
,16,,2025/5/30,夏期保安点検活動の実施にあたって ～現場・現物・現実に焦点を当てた点検で保安の実践力を高める～,"坂梨
今年3月、ガス導管工事の現場で非常に痛ましい労災事故がありました。
掘削溝内で土砂が崩れ落ち、現場におられた作業員の方が亡くなられました。
被災された方は、数か月前に工事に関する見習い資格を取得され、積極的に現場業務を学ばれていました。現場では自らできることを考え、率先して行動されるなど、非常に前向きな姿勢で仕事に取り組まれていたと伺っています。このような痛ましい事故は絶対に繰り返してはいけません。
保安行動4か条①、②、③、④","①ルール遵守
②確実な伝達
③再確認
④不測時の中断",
,17,,2025/6/5,環境月間メッセージ 「直線から循環へ──資源の使い方を見つめ直す」,"毎年6月は「環境月間」と定められ、環境について考える機会として位置づけられています。
、環境負荷の低減と資源の有効活用を両立させる「資源循環」の視点も、万博で取り上げられている展示テーマの一つに位置付けられます。当社では、会場内で発生する生ごみ由来のバイオガスとグリーン水素からe-メタンを製造し、迎賓館の厨房などで利用する実証事業に取り組んでいます。また、ガスパビリオンでは、当社が出資するSPACECOOL株式会社 が開発した放射冷却素材「SPACECOOL?」が、建物の外装に使用されており、会期終了後には再び活用されることが予定されています。さらに、このパビリオンでは、建築資材として再利用を前提としたリース部材が用いられるなど、使用後に廃棄物を出さず再利用できるよう工夫されています。こうした取り組みは、限られた資源の使い方について、あらためて考えるきっかけを与えてくれます。
当社においても「Daigasグループ環境目標  」の中で、ガスメーターの再利用（リユース）や、ポリエチレン管やお客さま先・事業活動での使用済み機器などの再資源化（リサイクル）により、使用済み資源を循環的に活用する取り組みを進めています。さらに、廃棄物の削減（リデュース）にも取り組むことで、不要な排出を未然に防ぐことにも注力しています。こうした3Rそれぞれの役割に応じた形で資源循環の実現を目指しています。
廃材や資材の再活用、使用済み製品の回収や再資源化といった3Rに加えて、再生可能な資源の活用（リニューアブル）といった取り組みが進められています。また、欧州では資源を効率的に循環させながら経済成長を目指す「サーキュラーエコノミー（循環経済）」に関する法制化が行われるなど、国レベルでの制度づくりも進みつつあります。
",,
,18,,,,,,
,19,,,,,,
,20,,,,,,
,21,,,,,,
,22,,,,,,
,23,,,,,,
,24,,,,,,
,25,,,,,,
,26,,,,,,
,27,,,,,,
,28,,,,,,
,29,,,,,,
,30,,,,,,
,31,,,,,,
,32,,,,,,
,33,,,,,,
,34,,,,,,
,35,,,,,,
,36,,,,,,
,37,,,,,,
,38,,,,,,
,39,,,,,,
,40,,,,,,
,41,,,,,,
,42,,,,,,
,43,,,,,,
,44,,,,,,
,45,,,,,,
,46,,,,,,
,47,,,,,,
,48,,,,,,
,49,,,,,,
,50,,,,,,
,51,,,,,,
,52,,,,,,
,53,,,,,,
,54,,,,,,
,55,,,,,,
,56,,,,,,
,57,,,,,,
,58,,,,,,
,59,,,,,,
,60,,,,,,
,61,,,,,,
,62,,,,,,
,63,,,,,,
,64,,,,,,
,65,,,,,,
,66,,,,,,
,67,,,,,,
,68,,,,,,
,69,,,,,,
,70,,,,,,
,71,,,,,,
,72,,,,,,
,73,,,,,,
,74,,,,,,
,75,,,,,,
,76,,,,,,
,77,,,,,,
,78,,,,,,
,79,,,,,,
,80,,,,,,
,81,,,,,,
,82,,,,,,
,83,,,,,,
,84,,,,,,
,85,,,,,,
,86,,,,,,
,87,,,,,,
,88,,,,,,
,89,,,,,,
,90,,,,,,
,91,,,,,,
,92,,,,,,
,93,,,,,,
,94,,,,,,
,95,,,,,,
,96,,,,,,
,97,,,,,,
,98,,,,,,
,99,,,,,,
,100,,,,,,
,101,,,,,,
,102,,,,,,
,103,,,,,,
,104,,,,,,
,105,,,,,,
,106,,,,,,
,107,,,,,,
,108,,,,,,
,109,,,,,,
,110,,,,,,
,111,,,,,,
,112,,,,,,
,113,,,,,,
,114,,,,,,
,115,,,,,,
,116,,,,,,
,117,,,,,,
,118,,,,,,
,119,,,,,,
,120,,,,,,
,121,,,,,,
,122,,,,,,
,123,,,,,,
,124,,,,,,
,125,,,,,,
,126,,,,,,
,127,,,,,,
,128,,,,,,
,129,,,,,,
,130,,,,,,
,131,,,,,,
,132,,,,,,
,133,,,,,,
,134,,,,,,
,135,,,,,,
,136,,,,,,
,137,,,,,,
,138,,,,,,
,139,,,,,,
,140,,,,,,
,141,,,,,,
,142,,,,,,
,143,,,,,,
,144,,,,,,
,145,,,,,,
,146,,,,,,
,147,,,,,,
,148,,,,,,
,149,,,,,,
,150,,,,,,
,151,,,,,,
,152,,,,,,
,153,,,,,,
,154,,,,,,
,155,,,,,,
,156,,,,,,
,157,,,,,,
,158,,,,,,
,159,,,,,,
,160,,,,,,
